GEO_ID,NAME,S1701_C03_009E,S1701_C03_010E,S1701_C03_016E,S1701_C03_017E
0500000US17193,"White County, Illinois",14.5,0,8.3,14.5
0500000US17195,"Whiteside County, Illinois",10.8,41.3,16.6,10.5
0500000US17197,"Will County, Illinois",6,16.4,15,4.9
0500000US17199,"Williamson County, Illinois",13.9,36.4,27.4,13.7
0500000US17201,"Winnebago County, Illinois",12.8,41.6,31.1,11
0500000US17203,"Woodford County, Illinois",7.8,32.5,12.4,7.7
0500000US18001,"Adams County, Indiana",18,88.9,18.9,18
0500000US18003,"Allen County, Indiana",10.7,36,28.9,10
0500000US18005,"Bartholomew County, Indiana",11.8,12.3,42.4,11.1
0500000US18007,"Benton County, Indiana",13,39.1,22.5,12.5
0500000US18009,"Blackford County, Indiana",16.1,0,16.6,16.1
0500000US18011,"Boone County, Indiana",6.9,23.2,6.7,6.8
0500000US18013,"Brown County, Indiana",13.6,0,42.9,13.2
0500000US18015,"Carroll County, Indiana",9.8,20,39.3,8.5
0500000US18017,"Cass County, Indiana",15.4,35.9,31.8,14.1
0500000US18019,"Clark County, Indiana",10.5,20.1,22,10.1
0500000US18021,"Clay County, Indiana",15.3,62.2,24.6,15.3
0500000US18023,"Clinton County, Indiana",12.5,3.8,18.9,12
0500000US18025,"Crawford County, Indiana",16.8,90.9,15.2,16.8
0500000US18027,"Daviess County, Indiana",12.8,15.5,33.3,11.9
0500000US18029,"Dearborn County, Indiana",9,20.7,4.2,9.1
0500000US18031,"Decatur County, Indiana",13.5,46.8,13.1,13.4
0500000US18033,"DeKalb County, Indiana",13,24.5,12.1,13
0500000US18035,"Delaware County, Indiana",20.4,40.1,31.2,20.3
0500000US18037,"Dubois County, Indiana",7.8,13.8,31,7.1
0500000US18039,"Elkhart County, Indiana",13.6,43.2,31.6,11
0500000US18041,"Fayette County, Indiana",20.6,4.2,46.7,20.3
0500000US18043,"Floyd County, Indiana",11.1,35.4,35,10.6
0500000US18045,"Fountain County, Indiana",11.5,31.8,22.1,11.6
0500000US18047,"Franklin County, Indiana",13.1,0,29.2,13
0500000US18049,"Fulton County, Indiana",16.6,0.5,18.2,16.3
0500000US18051,"Gibson County, Indiana",11,18.4,9,10.9
0500000US18053,"Grant County, Indiana",17.8,36.5,31.5,17.5
0500000US18055,"Greene County, Indiana",13.9,11.8,21.4,13.8
0500000US18057,"Hamilton County, Indiana",4.4,8.7,15.2,4.2
0500000US18059,"Hancock County, Indiana",7.5,11.9,15.4,7.3
0500000US18061,"Harrison County, Indiana",11.9,1.3,28.3,11.8
0500000US18063,"Hendricks County, Indiana",5.4,6.5,14.8,5.1
0500000US18065,"Henry County, Indiana",17.1,32.7,25.1,17
0500000US18067,"Howard County, Indiana",15.3,37.9,17.6,15.3
0500000US18069,"Huntington County, Indiana",11.4,44.8,21.6,11.3
0500000US18071,"Jackson County, Indiana",13.3,19.1,30.8,12.8
0500000US18073,"Jasper County, Indiana",8.4,0,6.8,8.5
0500000US18075,"Jay County, Indiana",15.6,2.6,23,15.4
0500000US18077,"Jefferson County, Indiana",14.8,9.8,72.2,14
0500000US18079,"Jennings County, Indiana",15.6,57.2,20.8,15.5
0500000US18081,"Johnson County, Indiana",10.1,27.3,43.4,9.5
0500000US18083,"Knox County, Indiana",13.7,46.7,32.5,13.6
0500000US18085,"Kosciusko County, Indiana",11.5,38.4,23.4,11.3
0500000US18087,"LaGrange County, Indiana",15.2,33.3,18,15
0500000US18089,"Lake County, Indiana",10,35.1,22.4,9.2
0500000US18091,"LaPorte County, Indiana",13.9,46.1,32,13.4
0500000US18093,"Lawrence County, Indiana",13.2,40.6,36.5,13.2
0500000US18095,"Madison County, Indiana",15.2,36.9,41.7,14.6
0500000US18097,"Marion County, Indiana",15.9,29,40.2,13.9
0500000US18099,"Marshall County, Indiana",12.7,24.9,28.8,11.9
0500000US18101,"Martin County, Indiana",13.7,-,0,13.7
0500000US18103,"Miami County, Indiana",16.2,10.7,36.5,16.3
0500000US18105,"Monroe County, Indiana",22.7,37.3,36.7,22.2
0500000US18107,"Montgomery County, Indiana",14.5,60,24.2,14
0500000US18109,"Morgan County, Indiana",11.5,25.7,22.4,11.5
